iter	Logloss
0	0.6783960943
1	0.6638795676
2	0.6498907177
3	0.6374989432
4	0.6260622653
5	0.6151732657
6	0.6059462024
7	0.5968523604
8	0.5882064367
9	0.5796825542
10	0.5722894342
11	0.5654998841
12	0.5595454437
13	0.5532340248
14	0.5470934686
15	0.5415377494
16	0.5365335513
17	0.5317379754
18	0.5274209951
19	0.523675847
20	0.5194643738
21	0.5157495475
22	0.5126423364
23	0.5091015211
24	0.506042015
25	0.5029391957
26	0.4997576578
27	0.4967690107
28	0.4936539659
29	0.490938588
30	0.4887327965
31	0.4860981009
32	0.4841052931
33	0.4822556056
34	0.4798372014
35	0.4774192261
36	0.4756946794
37	0.474000203
38	0.4723622895
39	0.4705708732
40	0.468903691
41	0.4673442015
42	0.4658010138
43	0.4643109819
44	0.4626531759
45	0.4613285588
46	0.4601895717
47	0.4588415976
48	0.457521843
49	0.4565866606
50	0.4553336524
51	0.4542603853
52	0.4530769934
53	0.4521169944
54	0.4510692798
55	0.4499990879
56	0.4489578886
57	0.4479886501
58	0.4471973407
59	0.4462835297
60	0.4453543743
61	0.4445251892
62	0.4437859598
63	0.4431166957
64	0.4421508249
65	0.4411999173
66	0.4405293577
67	0.4398561392
68	0.4391864333
69	0.4383210113
70	0.4371952913
71	0.4364845363
72	0.4358555003
73	0.4349884379
74	0.4341735477
75	0.4334695022
76	0.4328181679
77	0.4322234591
78	0.4316551197
79	0.4309199184
80	0.4303312771
81	0.429789454
82	0.4290990435
83	0.4284104441
84	0.4278275
85	0.427211727
86	0.4264880355
87	0.4257152499
88	0.4251690609
89	0.4246055828
90	0.4238728938
91	0.4234730486
92	0.4230272676
93	0.4223419202
94	0.421649389
95	0.4211936151
96	0.4207353008
97	0.4204032377
98	0.4198766698
99	0.4192230545
100	0.4188587496
101	0.4185161221
102	0.4179856623
103	0.41746097
104	0.4167332339
105	0.4162430951
106	0.4158845436
107	0.4156247108
108	0.4151937459
109	0.4148655665
110	0.4144268877
111	0.4139139163
112	0.4132523497
113	0.4129166437
114	0.4124965517
115	0.4120850385
116	0.4114858582
117	0.4111541543
118	0.4105994802
119	0.4103553436
120	0.4100553256
121	0.4098633516
122	0.4095662862
123	0.4091161822
124	0.408833827
125	0.4085319517
126	0.4079531241
127	0.4074657631
128	0.4071189966
129	0.4065431573
130	0.4061948621
131	0.4058996339
132	0.4054265056
133	0.4046805733
134	0.4043937855
135	0.4041819477
136	0.403944054
137	0.4034891279
138	0.4031531256
139	0.4029114497
140	0.4025420661
141	0.4021136619
142	0.4017427419
143	0.401360703
144	0.4010441886
145	0.4006519187
146	0.4004603073
147	0.4002149574
148	0.3998276363
149	0.3991611273
150	0.398889158
151	0.3986049956
152	0.3983464418
153	0.3980882226
154	0.3977294454
155	0.3974056907
156	0.3970295145
157	0.3968001957
158	0.3964004981
159	0.395995039
160	0.3956648691
161	0.3954355664
162	0.3951826545
163	0.3948136869
164	0.3946191917
165	0.394321761
166	0.3938705681
167	0.3935802508
168	0.3933185914
169	0.3928757797
170	0.3925780037
171	0.3923168679
172	0.391864358
173	0.3914547984
174	0.391111792
175	0.39089442
176	0.3905837307
177	0.3903689397
178	0.3901490295
179	0.3898772335
180	0.3897381346
181	0.389311721
182	0.3890589498
183	0.388843593
184	0.3886237959
185	0.3884566785
186	0.3881732462
187	0.3879775091
188	0.3878361021
189	0.387668499
190	0.3872675297
191	0.3870582466
192	0.3868668441
193	0.3866423948
194	0.3863573067
195	0.386175807
196	0.3860134383
197	0.3857704344
198	0.3855438468
199	0.3853435944
200	0.3851867377
201	0.3849922584
202	0.3848427529
203	0.3846757095
204	0.3845025248
205	0.3843246011
206	0.3839183027
207	0.3837098394
208	0.3835185339
209	0.3831488521
210	0.3830482738
211	0.3829137424
212	0.3826562464
213	0.3824297202
214	0.3822785313
215	0.3818880136
216	0.3815776852
217	0.3813673915
218	0.3810601478
219	0.3807582741
220	0.3804326136
221	0.3801872209
222	0.3800590939
223	0.3798208692
224	0.3796401509
225	0.3794033723
226	0.379268355
227	0.3789068342
228	0.3787791977
229	0.378338558
230	0.3779353637
231	0.377774072
232	0.377572296
233	0.3773511582
234	0.3771770799
235	0.3770171553
236	0.3768961424
237	0.3766135016
238	0.3763444322
239	0.3762029843
240	0.3759678966
241	0.3758088203
242	0.3756801541
243	0.3754507672
244	0.3752572529
245	0.3750521031
246	0.3748951408
247	0.3747221016
248	0.3745322363
249	0.3741031562
250	0.373970868
251	0.3737971911
252	0.3736487124
253	0.373468105
254	0.3733660345
255	0.3731522141
256	0.373044026
257	0.3728015041
258	0.3726973755
259	0.3725333636
260	0.372388443
261	0.372146329
262	0.3720777362
263	0.3719999568
