iter	Passed	Remaining
0	24	49238
1	43	43805
2	60	40441
3	78	38965
4	94	37851
5	112	37349
6	131	37515
7	148	37015
8	165	36683
9	183	36467
10	200	36341
11	219	36340
12	236	36101
13	254	36052
14	271	35942
15	291	36109
16	311	36347
17	328	36198
18	346	36117
19	369	36575
20	386	36452
21	404	36371
22	424	36453
23	441	36319
24	458	36242
25	476	36200
26	494	36157
27	513	36141
28	532	36192
29	552	36280
30	572	36360
31	592	36448
32	612	36506
33	631	36543
34	651	36567
35	671	36642
36	691	36662
37	710	36674
38	729	36695
39	749	36749
40	769	36766
41	789	36803
42	809	36859
43	830	36920
44	850	36966
45	870	36992
46	890	37008
47	910	37020
48	933	37162
49	955	37277
50	974	37255
51	999	37441
52	1021	37513
53	1040	37497
54	1059	37484
55	1080	37504
56	1100	37504
57	1119	37497
58	1139	37488
59	1159	37486
60	1179	37493
61	1199	37479
62	1220	37527
63	1238	37476
64	1258	37452
65	1277	37443
66	1297	37427
67	1317	37435
68	1338	37468
69	1357	37435
70	1376	37399
71	1395	37378
72	1416	37379
73	1435	37364
74	1454	37338
75	1479	37450
76	1499	37438
77	1518	37412
78	1537	37378
79	1556	37366
80	1576	37350
81	1596	37335
82	1616	37327
83	1635	37302
84	1655	37288
85	1676	37305
86	1695	37282
87	1715	37273
88	1736	37275
89	1755	37264
90	1775	37252
91	1795	37245
92	1814	37216
93	1835	37213
94	1855	37209
95	1874	37185
96	1895	37178
97	1916	37204
98	1937	37197
99	1957	37185
100	1977	37183
101	1998	37181
102	2018	37180
103	2038	37172
104	2060	37196
105	2082	37203
106	2101	37183
107	2120	37153
108	2141	37144
109	2159	37112
110	2180	37102
111	2208	37221
112	2234	37317
113	2254	37293
114	2273	37261
115	2293	37243
116	2312	37222
117	2331	37183
118	2350	37154
119	2369	37118
120	2389	37101
121	2408	37068
122	2427	37045
123	2446	37017
124	2466	37003
125	2485	36963
126	2504	36932
127	2523	36902
128	2544	36910
129	2564	36885
130	2583	36860
131	2606	36879
132	2628	36894
133	2648	36887
134	2669	36873
135	2687	36838
136	2706	36807
137	2728	36821
138	2749	36808
139	2767	36769
140	2787	36757
141	2807	36741
142	2827	36723
143	2848	36711
144	2868	36701
145	2889	36693
146	2909	36674
147	2928	36644
148	2948	36622
149	2968	36608
150	2988	36593
151	3014	36654
152	3034	36627
153	3055	36622
154	3079	36658
155	3100	36654
156	3123	36669
157	3143	36642
158	3164	36641
159	3184	36616
160	3204	36598
161	3224	36588
162	3246	36586
163	3272	36632
164	3290	36597
165	3311	36580
166	3331	36563
167	3351	36546
168	3372	36535
169	3393	36525
170	3411	36489
171	3432	36480
172	3453	36466
173	3474	36458
174	3494	36437
175	3513	36414
176	3533	36390
177	3553	36373
178	3571	36335
179	3590	36299
180	3608	36261
181	3627	36236
182	3650	36248
183	3670	36222
184	3689	36193
185	3715	36236
186	3735	36213
187	3755	36198
188	3774	36165
189	3794	36146
190	3818	36164
191	3838	36144
192	3857	36116
193	3876	36083
194	3894	36052
195	3913	36023
196	3934	36008
197	3954	35989
198	3972	35956
199	3992	35929
200	4010	35898
201	4030	35873
202	4051	35865
203	4070	35836
204	4091	35824
205	4111	35807
206	4136	35833
207	4156	35807
208	4180	35824
209	4201	35809
210	4219	35776
211	4241	35773
212	4261	35750
213	4280	35725
214	4300	35708
215	4323	35706
216	4343	35688
217	4364	35676
218	4385	35663
219	4409	35675
220	4429	35653
221	4449	35633
222	4468	35606
223	4489	35591
224	4509	35578
225	4529	35556
226	4550	35539
227	4571	35526
228	4590	35499
229	4610	35482
230	4630	35457
231	4649	35429
232	4668	35407
233	4688	35380
234	4708	35364
235	4730	35360
236	4750	35339
237	4770	35317
238	4789	35287
239	4808	35263
240	4827	35237
241	4847	35217
242	4866	35188
243	4890	35195
244	4910	35171
245	4929	35145
246	4950	35132
247	4969	35108
248	4989	35087
249	5009	35067
250	5029	35049
251	5049	35028
252	5069	35003
253	5089	34983
254	5108	34960
255	5127	34933
256	5147	34907
257	5166	34884
258	5186	34866
259	5205	34839
260	5224	34812
261	5244	34790
262	5263	34761
263	5283	34745
264	5303	34723
265	5322	34698
266	5342	34674
267	5361	34649
268	5380	34625
269	5400	34604
270	5420	34582
271	5441	34566
272	5460	34542
273	5479	34518
274	5499	34496
275	5520	34480
276	5539	34455
277	5560	34442
278	5580	34424
279	5601	34408
280	5621	34387
281	5641	34369
282	5662	34355
283	5683	34339
284	5702	34317
285	5722	34297
286	5743	34279
287	5764	34264
288	5784	34245
289	5803	34222
290	5825	34209
291	5844	34188
292	5865	34173
293	5886	34156
294	5906	34135
295	5926	34118
296	5947	34105
297	5969	34093
298	5988	34065
299	6008	34047
300	6029	34031
301	6049	34015
302	6070	33998
303	6090	33976
304	6111	33965
305	6132	33949
306	6153	33935
307	6174	33917
308	6194	33901
309	6215	33881
310	6235	33863
311	6256	33848
312	6275	33824
313	6295	33802
314	6314	33778
315	6335	33765
316	6355	33742
317	6375	33724
318	6397	33714
319	6417	33690
320	6437	33669
321	6457	33651
322	6477	33631
323	6503	33641
324	6526	33636
325	6546	33614
326	6566	33594
327	6586	33573
328	6607	33558
329	6627	33540
330	6648	33523
331	6666	33494
332	6686	33474
333	6708	33459
334	6733	33466
335	6754	33448
336	6774	33431
337	6794	33411
338	6815	33394
339	6836	33377
340	6856	33359
341	6876	33337
342	6896	33316
343	6918	33305
344	6938	33286
345	6958	33264
346	6978	33243
347	6998	33220
348	7019	33209
349	7046	33217
350	7067	33202
351	7094	33215
352	7113	33190
353	7133	33168
354	7153	33147
355	7173	33129
356	7194	33110
357	7213	33084
358	7234	33067
359	7254	33047
360	7274	33025
361	7294	33004
362	7313	32983
363	7334	32966
364	7355	32946
365	7375	32928
366	7395	32908
367	7416	32889
368	7436	32868
369	7454	32839
370	7474	32819
371	7496	32805
372	7515	32780
373	7534	32755
374	7555	32739
375	7574	32715
376	7594	32692
377	7612	32666
378	7632	32644
379	7652	32625
380	7672	32602
381	7691	32578
382	7712	32560
383	7732	32541
384	7752	32520
385	7772	32500
386	7791	32476
387	7812	32458
388	7832	32439
389	7853	32421
390	7873	32399
391	7894	32382
392	7913	32358
393	7931	32329
394	7952	32314
395	7972	32293
396	7994	32280
397	8014	32259
398	8034	32238
399	8054	32217
400	8072	32191
401	8092	32167
402	8112	32147
403	8132	32127
404	8152	32106
405	8171	32084
406	8191	32062
407	8211	32042
408	8231	32019
409	8251	31999
410	8271	31979
411	8291	31959
412	8311	31938
413	8331	31917
414	8351	31897
415	8372	31878
416	8390	31853
417	8411	31834
418	8431	31812
419	8451	31792
420	8471	31773
421	8491	31752
422	8512	31734
423	8534	31720
424	8552	31695
425	8572	31674
426	8593	31656
427	8615	31643
428	8634	31619
429	8653	31594
430	8672	31572
431	8693	31555
432	8714	31536
433	8733	31514
434	8754	31497
435	8775	31478
436	8794	31455
437	8814	31435
438	8835	31416
439	8855	31395
440	8875	31375
441	8895	31355
442	8914	31331
443	8935	31312
444	8955	31294
445	8976	31276
446	8996	31255
447	9016	31234
448	9036	31214
449	9055	31190
450	9075	31171
451	9095	31150
452	9115	31130
453	9135	31110
454	9155	31089
455	9175	31068
456	9196	31050
457	9216	31029
458	9237	31012
459	9257	30993
460	9277	30971
461	9300	30960
462	9321	30944
463	9341	30922
464	9361	30902
465	9382	30886
466	9403	30867
467	9422	30845
468	9442	30822
469	9462	30801
470	9483	30785
471	9503	30765
472	9524	30748
