feature,importance
C1,0.6561110537773597
C13,0.3396674056740203
C5,0.25950338231956926
id_02_to_std_card1,0.2138020228117673
card6,0.1905544757648312
TransactionID,0.1866145846984832
id_02_to_mean_card1,0.18065824451143295
D1,0.1779042563752521
card1,0.17316323176788978
V_PCA_2,0.17004838318750196
M4_freq,0.14398191429295298
M5,0.1410036802147811
M4,0.13657224523934458
D4,0.13171021977188224
card2,0.1293913194420365
P_emaildomain_1_freq,0.1288001239508122
V_PCA_5,0.1203938209947071
D3,0.11352241792022288
D15_to_std_card1,0.10885659634021327
TransactionAmt,0.10537196177421461
D10,0.10366462237785633
addr1,0.09918283924672883
card3,0.09719017358678288
TransactionAmt_decimal,0.09283852013763322
M6,0.09181804791182482
TransactionAmt_log,0.09134653818844093
P_emaildomain,0.08780690870419608
D15,0.08251034441797025
ProductCD,0.08017649413627212
addr2,0.07148977830116467
D15_to_mean_addr1,0.059059889396635076
dist1,0.05899954067055754
D11,0.05858213054226252
hour,0.058216699113318594
V_PCA_3,0.056501943865942234
D15_to_mean_card1,0.05649232469988885
D8,0.05476415070614913
TransactionAmt_to_std_card1,0.05399211163067003
R_emaildomain,0.04528726957076469
M3_freq,0.04427912248135594
V_PCA_4,0.043983668753246864
card5,0.04388376328492929
DeviceInfo,0.04308165772362151
day,0.04216976023945862
D5,0.04129391790864906
P_emaildomain_2,0.039508867366959695
V_PCA_1,0.038322292041286815
D14,0.03775226828742099
id_31,0.03508369298327857
DeviceType,0.033356865721542873
id_01,0.03114525648427019
card4,0.029829658424098675
id_14,0.027765138555651818
D13,0.02760751630652915
id_05,0.02430736124168553
id_02,0.02379807159963991
M7,0.02134537599506121
M2_freq,0.02020609110665719
id_06,0.018007721332756455
id_30,0.015685814587780678
id_09,0.012752910830606538
is_night,0.012374636677875537
id_18,0.012003572661181686
dist2,0.011265777708705842
id_04,0.009624228428386929
D12,0.008234348096361904
id_07,0.00768838533402303
D9,0.006652998354696388
C3_freq,0.006600864897050835
M7_freq,0.006079241292605375
is_rush_hour,0.005927003530328416
D7,0.005524059416337107
id_03,0.004581197509836364
C3,0.00444571666960478
M1,0.0033642428368007332
P_emaildomain_3,0.0030570363784517807
R_emaildomain_3,0.003057000215338625
D6,0.0027928000193051983
id_10,0.0018562751187705148
id_08,0.001811625830347195
id_21,0.0012529347622024485
id_22,0.00012952985570304577
id_24,0.00011468623809495049
