feature,importance
C13,0.3084432671491851
C5,0.29962264605736316
C1,0.2793879579046439
id_02_to_std_card1,0.20316133216129897
D1,0.16299137762522398
V_PCA_2,0.15727324356398806
TransactionID,0.14034869799720573
TransactionAmt,0.13834667980685797
D4,0.13114172624501153
card1,0.11659740103844433
card6,0.11490932512498601
P_emaildomain_1_freq,0.11334821897579535
TransactionAmt_decimal,0.10706830123276248
card2,0.09719341643948126
M6,0.09202697908989592
M5,0.0886748395737913
V_PCA_1,0.08489176160974232
id_02_to_mean_card1,0.0823112655926196
D3,0.08160012601313364
D10,0.07409760700820521
TransactionAmt_log,0.06557565603718654
D15,0.0631891661006741
D8,0.057065348145044804
dist1,0.05104578777974929
hour,0.05084834479698379
D15_to_std_card1,0.050783605927327294
V_PCA_5,0.04973178582881319
M4,0.048598471364743635
V_PCA_4,0.04821311545444904
R_emaildomain,0.04445592715636827
D11,0.0439924810383157
P_emaildomain,0.043360180855814105
ProductCD,0.043332390429288534
day,0.042021707908502466
addr1,0.04178738207345271
D15_to_mean_addr1,0.041704549126321815
M3_freq,0.04092801371330393
V_PCA_3,0.04065231153832653
D5,0.03818531851410332
DeviceInfo,0.03704783714815795
card3,0.03702103279003641
TransactionAmt_to_std_card1,0.03328341635559882
id_14,0.030510893950896286
D13,0.027849892859256962
M4_freq,0.02689889583698084
P_emaildomain_2,0.025084978307784285
id_31,0.02368266005160965
card5,0.02338154772489844
D15_to_mean_card1,0.02071856409589522
addr2,0.020216409646119027
DeviceType,0.01997190452310902
id_02,0.01989467506359363
dist2,0.017750513060034053
C3,0.017346951518724566
D14,0.014191101252175473
id_06,0.013000861595654608
id_05,0.012841902827723097
M7,0.012422797634062375
card4,0.011666664462491604
id_07,0.010306597797823249
M2_freq,0.009462572424209476
id_01,0.008158373964449513
id_30,0.008080209632871328
id_09,0.007184920838749549
id_18,0.0057538566054326536
C3_freq,0.003899558190326374
D12,0.0032359419760565225
id_03,0.003205103657946304
D6,0.003093182241951535
P_emaildomain_3,0.0028589090681383263
D7,0.0026689466062284318
id_21,0.0017773377305774485
M7_freq,0.0016776234157658454
D9,0.0015723332391565173
is_rush_hour,0.0013507716176023173
is_night,0.001317466594026945
id_04,0.0012680760246915944
M1,0.0009694582419552344
id_24,0.00038094543908919083
id_08,0.0003199930882093694
id_10,0.00027627743118154995
R_emaildomain_3,0.00020833909919743058
id_22,5.5754099426087957e-05
