feature,importance
C1,0.03687026489015619
C13,0.02382225484494324
V_PCA_4,0.021482253596090278
V_PCA_2,0.02056946660784053
V_PCA_3,0.01937465715310833
id_02_to_std_card1,0.019359609022284584
C5,0.01835140794561751
V_PCA_5,0.016847484856100048
id_02_to_mean_card1,0.013892481200651308
TransactionID,0.013435538771346508
addr1,0.012593057772472674
card1,0.011916143830732258
TransactionAmt_log,0.011829103083622807
V_PCA_1,0.01176181845323104
TransactionAmt,0.01166934285435336
ProductCD,0.011546588275827467
addr2,0.011475290321731313
card3,0.011388321751278255
TransactionAmt_to_std_card1,0.011233930109417412
D3,0.011208687797430431
card6,0.01061074650907629
D1,0.010549516743752327
card2,0.010102261578183037
day,0.009809222917195316
D10,0.009585350438292804
hour,0.009404696545887315
TransactionAmt_decimal,0.009244892926219932
D15_to_std_card1,0.009162931081020084
D15,0.00822330499087342
M4,0.008085333889581015
M4_freq,0.007759788648464247
id_02,0.007736738973459684
D15_to_mean_card1,0.007369190484086514
R_emaildomain,0.007334532657488515
D15_to_mean_addr1,0.0073289904490023445
D4,0.007041398879169509
P_emaildomain_1_freq,0.006661351674975416
P_emaildomain,0.0054973732946710955
D5,0.005147021763479677
card5,0.004744180885926009
M5,0.004730066818784699
D12,0.00436796364711166
id_01,0.004223402997166944
M6,0.004168771437532521
dist1,0.003994951744456355
id_31,0.0038274109045882384
D11,0.003585016274187076
D8,0.00334435607688795
M3_freq,0.0025738302511343707
D9,0.002498399908407239
D14,0.002379799595363617
id_05,0.002061191616051485
D7,0.0019840105617516435
M2_freq,0.0018981996146739289
D6,0.0018886961550802655
id_06,0.0018492017600134196
DeviceType,0.0017563839184554844
card4,0.0017251897122074413
id_09,0.00171457291545149
P_emaildomain_2,0.0014323955544484684
id_10,0.0014250002898872154
DeviceInfo,0.0013889352919386295
id_14,0.001365225092832261
id_30,0.0012848508921653777
is_night,0.0012537397048238035
id_18,0.0012482116303511295
M7,0.0011791235045174196
M7_freq,0.0010838613432658558
D13,0.0008539674069427341
is_rush_hour,0.0007967082185650619
dist2,0.0007661281216142845
id_03,0.0006986676008656565
M1,0.0005682435015630342
id_04,0.0004807401527322048
P_emaildomain_3,0.00010537908942210574
R_emaildomain_3,9.148554705003844e-05
id_08,7.156555938456804e-05
id_07,6.808442857658798e-05
id_21,6.16272399682277e-05
C3_freq,5.8471681339557015e-05
C3,5.10619787974958e-05
id_22,4.190248225079395e-05
id_24,3.572224749800601e-05
