feature,importance
C1,0.5682164
C13,0.4312187
C5,0.30109525
TransactionAmt,0.252485
TransactionID,0.22283179
card1,0.22096276
V_PCA_4,0.21820141
id_02_to_std_card1,0.21452788
V_PCA_2,0.20836197
card6,0.18847059
card2,0.16893639
id_02_to_mean_card1,0.1609214
hour,0.15057531
addr1,0.14960669
D4,0.14903256
D1,0.14722037
TransactionAmt_to_std_card1,0.13996594
day,0.13010162
M6,0.12991484
card3,0.12049369
TransactionAmt_decimal,0.11967466
ProductCD,0.11141036
M4,0.1087073
P_emaildomain_1_freq,0.10565834
D10,0.09879293
V_PCA_3,0.09729788
D3,0.09698851
V_PCA_5,0.09596627
D15_to_std_card1,0.092101194
M5,0.09002309
D15_to_mean_addr1,0.075614005
id_31,0.07489063
dist1,0.071706414
M3_freq,0.07053785
P_emaildomain,0.06879457
D15_to_mean_card1,0.06743134
V_PCA_1,0.067033336
D15,0.06689617
D5,0.063409686
card5,0.062349238
TransactionAmt_log,0.060248747
D14,0.05870922
D8,0.05593979
M4_freq,0.051007267
R_emaildomain,0.04965757
D11,0.047002856
DeviceType,0.03897729
D13,0.036731932
M7,0.036597006
addr2,0.034717597
id_02,0.033081826
card4,0.03286024
P_emaildomain_2,0.03279129
DeviceInfo,0.03246334
id_05,0.030438958
id_06,0.026201038
id_30,0.024830658
id_14,0.023652107
id_01,0.021301514
M2_freq,0.017060418
dist2,0.013863823
id_09,0.012480326
id_04,0.01213168
is_night,0.0108105
is_rush_hour,0.010433319
D9,0.010422544
id_18,0.010077053
D12,0.008582648
D7,0.008100258
M7_freq,0.006950712
id_07,0.0068159495
id_03,0.0051888535
D6,0.005179646
M1,0.00458464
P_emaildomain_3,0.0035117262
id_21,0.0019179591
id_10,0.0010813858
id_08,0.001007704
id_24,0.0007001086
R_emaildomain_3,0.0004445311
id_22,0.0004361993
C3,0.0
C3_freq,0.0
